,Pedestrians_Count,Lockdown_Stage,Vehicle_Count,Covid_Cases
03-08-2019,908398,Stage 0,20215.0,0.0
03-08-2020,815622,Stage 0,,379.0
03-08-2021,360691,Stage 3,,0.0
03-09-2010,286417,Stage 0,,0.0
03-09-2011,269822,Stage 0,,0.0
03-09-2012,381780,Stage 0,,0.0
03-09-2013,312016,Stage 0,,0.0
03-09-2014,529008,Stage 0,,0.0
03-09-2015,625386,Stage 0,,0.0
03-09-2016,659926,Stage 0,,0.0
03-09-2017,609418,Stage 0,,0.0
03-09-2018,959752,Stage 0,,0.0
03-09-2019,760782,Stage 0,22140.0,0.0
03-09-2020,696327,Stage 0,,65.0
03-09-2021,390882,Stage 3,,0.0
03-10-2010,287822,Stage 0,,0.0
03-10-2011,280171,Stage 0,,0.0
03-10-2012,315606,Stage 0,,0.0
03-10-2013,304693,Stage 0,,0.0
03-10-2014,450291,Stage 0,,0.0
03-10-2015,573615,Stage 0,,0.0
03-10-2016,669617,Stage 0,,0.0
03-10-2017,724976,Stage 0,,0.0
03-10-2018,839781,Stage 0,,0.0
03-10-2019,706328,Stage 0,24596.0,0.0
03-10-2020,830344,Stage 0,,10.0
03-10-2021,451229,Stage 3,,0.0
03-11-2010,301333,Stage 0,,0.0
03-11-2011,349628,Stage 0,,0.0
03-11-2012,338324,Stage 0,,0.0
03-11-2013,258349,Stage 0,,0.0
03-11-2014,454866,Stage 0,,0.0
03-11-2015,620929,Stage 0,,0.0
03-11-2016,827051,Stage 0,,0.0
03-11-2017,620789,Stage 0,,0.0
03-11-2018,887982,Stage 0,,0.0
03-11-2019,659680,Stage 0,17911.0,0.0
03-11-2020,859953,Stage 0,,0.0
03-11-2021,452661,Stage 3,,0.0
03-12-2010,345844,Stage 0,,0.0
03-12-2011,291919,Stage 0,,0.0
03-12-2012,316424,Stage 0,,0.0
03-12-2013,264031,Stage 0,,0.0
03-12-2014,530736,Stage 0,,0.0
03-12-2015,617938,Stage 0,,0.0
03-12-2016,730844,Stage 0,,0.0
03-12-2017,629251,Stage 0,,0.0
03-12-2018,743673,Stage 0,,0.0
03-12-2019,772072,Stage 0,23970.0,0.0
03-12-2020,868573,Stage 0,,0.0
03-12-2021,528397,Stage 3,,0.0
04-01-2010,313704,Stage 0,,0.0
04-01-2011,331460,Stage 0,,0.0
04-01-2012,276278,Stage 0,,0.0
04-01-2013,202168,Stage 0,,0.0
04-01-2014,477658,Stage 0,,0.0
04-01-2015,621352,Stage 0,,0.0
04-01-2016,826348,Stage 0,,0.0
04-01-2017,542796,Stage 0,,0.0
04-01-2018,650146,Stage 0,,0.0
04-01-2019,733017,Stage 0,15434.0,0.0
04-01-2020,140370,Stage 3,20477.0,0.0
04-01-2021,606043,Stage 3,,3.0
04-02-2010,161718,Stage 0,,0.0
04-02-2011,214668,Stage 0,,0.0
04-02-2012,320999,Stage 0,,0.0
04-02-2013,274205,Stage 0,,0.0
04-02-2014,472411,Stage 0,,0.0
04-02-2015,671795,Stage 0,,0.0
04-02-2016,643351,Stage 0,,0.0
04-02-2017,486547,Stage 0,,0.0
04-02-2018,583467,Stage 0,,0.0
04-02-2019,820014,Stage 0,16650.0,0.0
04-02-2020,109338,Stage 3,22011.0,0.0
04-02-2021,499695,Stage 3,,0.0
04-03-2010,237896,Stage 0,,0.0
04-03-2011,177891,Stage 0,,0.0
04-03-2012,334781,Stage 0,,0.0
04-03-2013,294767,Stage 0,,0.0
04-03-2014,503808,Stage 0,,0.0
04-03-2015,476397,Stage 0,,0.0
04-03-2016,555798,Stage 0,,0.0
04-03-2017,601181,Stage 0,,0.0
04-03-2018,764797,Stage 0,,0.0
04-03-2019,799520,Stage 0,18823.0,0.0
04-03-2020,144579,Stage 3,23351.0,1.0
04-03-2021,645460,Stage 3,,0.0
04-04-2010,206542,Stage 0,,0.0
04-04-2011,259414,Stage 0,,0.0
04-04-2012,345407,Stage 0,,0.0
04-04-2013,321993,Stage 0,,0.0
04-04-2014,598576,Stage 0,,0.0
04-04-2015,575694,Stage 0,,0.0
04-04-2016,682296,Stage 0,,0.0
04-04-2017,662872,Stage 0,,0.0
04-04-2018,819474,Stage 0,,0.0
04-04-2019,828417,Stage 0,19817.0,0.0
04-04-2020,88016,Stage 3,11922.0,23.0
04-04-2021,564228,Stage 3,,0.0
04-05-2010,192115,Stage 0,,0.0
04-05-2011,284859,Stage 0,,0.0
04-05-2012,361436,Stage 0,,0.0
04-05-2013,362993,Stage 0,,0.0
04-05-2014,540954,Stage 0,,0.0
04-05-2015,465305,Stage 0,,0.0
04-05-2016,710886,Stage 0,,0.0
04-05-2017,670232,Stage 0,,0.0
